date,aqi
01-01-2016,69
01-02-2016,59
01-03-2016,44
01-04-2016,62
01-05-2016,52
01-06-2016,48
01-07-2016,32
01-08-2016,36
01-09-2016,31
01-10-2016,56
01-11-2016,69
01-12-2016,84
01-01-2017,84
01-02-2017,75
01-03-2017,86
01-04-2017,79
01-05-2017,82
01-06-2017,59
01-07-2017,55
01-08-2017,55
01-09-2017,62
01-10-2017,71
01-11-2017,91
01-12-2017,90
01-01-2018,111
01-02-2018,87
01-03-2018,89
01-04-2018,100
01-05-2018,100
01-06-2018,100
01-07-2018,89
01-08-2018,91
01-09-2018,100
01-10-2018,98
01-11-2018,106
01-12-2018,100
01-01-2019,104
01-02-2019,102
01-03-2019,103
01-04-2019,109
01-05-2019,103
01-06-2019,99
01-07-2019,100
01-08-2019,99
01-09-2019,97
01-10-2019,102
01-11-2019,105
01-12-2019,112
01-01-2020,111
01-02-2020,114
01-03-2020,110
01-04-2020,39
01-05-2020,72
01-06-2020,58
01-07-2020,114
01-08-2020,70
01-09-2020,96
01-10-2020,137
01-11-2020,114
01-12-2020,108
01-01-2021,110
01-02-2021,110
01-03-2021,69
01-04-2021,73
01-05-2021,68
01-06-2021,72
01-07-2021,57
01-08-2021,64
01-09-2021,66
01-10-2021,68
01-11-2021,73
01-12-2021,82
01-01-2022,82
01-02-2022,90
01-03-2022,96
01-04-2022,70
01-05-2022,76
01-06-2022,89
01-07-2022,69
01-08-2022,55
01-09-2022,58
01-10-2022,63
01-11-2022,101
01-12-2022,126
