District,Mandal,Date,Rainfall (mm),temp_min ,Temp,humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Adilabad Urban,1/1/20,14,16.4,26.6,67.8,87.6,0,8.2
Adilabad,Adilabad Urban,1/2/20,2.2,17.1,26.8,72.7,98.7,0,3.7
Adilabad,Adilabad Urban,1/3/20,27.8,16.9,22.9,86.3,100,0,7.5
Adilabad,Adilabad Urban,1/4/20,0,16.3,21.3,85.5,100,0,4.2
Adilabad,Adilabad Urban,1/5/20,0,14.6,24.7,77.6,100,0,1.6
Adilabad,Adilabad Urban,1/6/20,0,11.7,25,65.9,99.6,0,7.4
Adilabad,Adilabad Urban,1/7/20,0,14.9,27,53.5,98.9,0,5
Adilabad,Adilabad Urban,1/8/20,0,19.7,28.5,64.2,98.2,0,4.6
Adilabad,Adilabad Urban,1/9/20,15.8,19.7,29.4,66.3,100,0,11.9
Adilabad,Adilabad Urban,1/10/20,0,13.2,24.5,84.6,100,0,6
Adilabad,Adilabad Urban,1/11/20,0,11,24.3,63.7,98.3,0,4.6
Adilabad,Adilabad Urban,1/12/20,0,9.9,25.6,46.3,99.3,0,4.6
Adilabad,Adilabad Urban,1/13/20,0,10.1,27,37.7,99.2,0,4.1
Adilabad,Adilabad Urban,1/14/20,0,13.3,29.4,29,93.9,0,3.4
Adilabad,Adilabad Urban,1/15/20,0,16.1,30.3,39.1,99.1,0,5.5
Adilabad,Adilabad Urban,1/16/20,0,17.4,30.3,45.9,94.8,0,9.6
Adilabad,Adilabad Urban,1/17/20,0,18.5,29.7,45.8,88.6,0,8.6
Adilabad,Adilabad Urban,1/18/20,0,17.4,28.2,58.7,97.8,0,5.1
Adilabad,Adilabad Urban,1/19/20,0,17.3,29.1,58.2,99.5,0,4.4
Adilabad,Adilabad Urban,1/20/20,0,15.8,30.1,59,97.7,0,6.9
Adilabad,Adilabad Urban,1/21/20,0,16.2,27.1,67,99.3,0,4.4
Adilabad,Adilabad Urban,1/22/20,0,19.3,31,53.2,97.9,0,6.9
Adilabad,Adilabad Urban,1/23/20,0,17.4,31.5,52.6,99.1,0,12.2
Adilabad,Adilabad Urban,1/24/20,0,16.9,31.5,45,95.9,0,4.4
Adilabad,Adilabad Urban,1/25/20,0,16.1,31,43.9,98.9,0,5.8
Adilabad,Adilabad Urban,1/26/20,0,15.7,31.3,43.6,98.6,0,5.9
Adilabad,Adilabad Urban,1/27/20,0,13.7,30.9,39.4,95.5,0,4.5
Adilabad,Adilabad Urban,1/28/20,0,21.4,34.2,26.4,76.5,0,8.8
Adilabad,Adilabad Urban,1/29/20,0,17.9,31.8,35.5,83.7,0,8.9
Adilabad,Adilabad Urban,1/30/20,0,15.3,30.6,40,93.1,0,4.1
Adilabad,Adilabad Urban,1/31/20,0,13,29,41.1,88.6,0,6.4
Adilabad,Adilabad Urban,2/1/20,0,15.6,28.4,41.3,87.2,0,5
Adilabad,Adilabad Urban,2/2/20,0,16.6,28.4,52.7,81.5,0,7.5
Adilabad,Adilabad Urban,2/3/20,0,19.1,27.7,55,83.2,0,6.7
Adilabad,Adilabad Urban,2/4/20,0,17.8,30.1,53.1,97.5,0,4.2
Adilabad,Adilabad Urban,2/5/20,0,20.1,31.8,41.1,96.4,0,11.2
Adilabad,Adilabad Urban,2/6/20,0,17.1,30.3,61.5,98.2,0,4.5
Adilabad,Adilabad Urban,2/7/20,0,17.1,31.2,54.1,98.1,0,4.7
Adilabad,Adilabad Urban,2/8/20,1.1,19.2,29.5,63.6,97.3,0,6.3
Adilabad,Adilabad Urban,2/9/20,0.5,16.2,23.1,85.5,98.7,0,6.4
Adilabad,Adilabad Urban,2/10/20,0,14.7,26.5,68.4,99,0,9.3
Adilabad,Adilabad Urban,2/11/20,0,15.9,28.9,60.9,96.9,0,4.2
Adilabad,Adilabad Urban,2/12/20,0,16.7,30.8,54.6,98,0,3.8
Adilabad,Adilabad Urban,2/13/20,0,14.8,31.4,38.1,93.3,0,5.9
Adilabad,Adilabad Urban,2/14/20,0,17.3,32.6,32.5,80.4,0,3
Adilabad,Adilabad Urban,2/15/20,0,15.8,34,21.5,86.7,0,6.5
Adilabad,Adilabad Urban,2/16/20,0,15.7,33.5,30.3,91.2,0,4.8
Adilabad,Adilabad Urban,2/17/20,0,14.7,33.5,28.9,88.7,0,2.9
Adilabad,Adilabad Urban,2/18/20,0,12.2,33.3,19.4,84.8,0,4.9
Adilabad,Adilabad Urban,2/19/20,0,13.2,33.7,14.1,83.6,0,5.7
Adilabad,Adilabad Urban,2/20/20,0,19.6,35,16.5,83.6,0,7
Adilabad,Adilabad Urban,2/21/20,0,20.5,33.5,38.3,87.6,0,11.3
Adilabad,Adilabad Urban,2/22/20,0,21.4,32.5,43.3,77.4,0,10
Adilabad,Adilabad Urban,2/23/20,0,22.6,34.9,32,71.1,0,5.9
Adilabad,Adilabad Urban,2/24/20,0,22.2,34.4,30.1,73.8,0,7.3
Adilabad,Adilabad Urban,2/25/20,0,19.9,35,31.4,69.6,0,6.6
Adilabad,Adilabad Urban,2/26/20,0,14.8,32.2,23.2,74.8,0,3.8
Adilabad,Adilabad Urban,2/27/20,0,13.3,32.2,16.8,46.2,0,5.8
Adilabad,Adilabad Urban,2/28/20,0,14.6,33.3,18.9,75.9,0,5.3
Adilabad,Adilabad Urban,2/29/20,0,16.6,34.6,23,88,0,4.2
Adilabad,Adilabad Urban,3/1/20,0,19.7,34.9,24.4,80.3,0,8.2
Adilabad,Adilabad Urban,3/2/20,0,20.2,34.2,30.7,79.2,0,11.6
Adilabad,Adilabad Urban,3/3/20,0,22.8,34.9,30,80.8,0,9.1
Adilabad,Adilabad Urban,3/4/20,0,20.7,36.4,25.7,76.7,0,10.2
Adilabad,Adilabad Urban,3/5/20,0,17.1,35.5,20.6,64.7,0,10.4
Adilabad,Adilabad Urban,3/6/20,0,22.5,34.3,21.7,89.5,0,4.3
Adilabad,Adilabad Urban,3/7/20,0,21,34.6,27.3,80.5,0,8.3
Adilabad,Adilabad Urban,3/8/20,0,21.7,33.5,30.3,80.8,0,6.6
Adilabad,Adilabad Urban,3/9/20,0,22.1,33,47.4,96.6,0,8.1
Adilabad,Adilabad Urban,3/10/20,3.3,21.9,32.9,61.8,97.2,0,8.7
Adilabad,Adilabad Urban,3/11/20,0,24.7,36.4,37.4,85.4,0,11.7
Adilabad,Adilabad Urban,3/12/20,0,23.1,35.7,37.1,76.5,0,6.7
Adilabad,Adilabad Urban,3/13/20,0,24.5,35.7,33.4,83.9,0,6.9
Adilabad,Adilabad Urban,3/14/20,3.7,22.6,34.2,50.6,96.9,0,11.1
Adilabad,Adilabad Urban,3/15/20,0,21.7,32.7,46.6,88.1,0,3.7
Adilabad,Adilabad Urban,3/16/20,0,21.7,34.8,42.2,88.1,0,3
Adilabad,Adilabad Urban,3/17/20,0.8,22,35.8,37.1,93.1,0,6.7
Adilabad,Adilabad Urban,3/18/20,0.3,21.4,37,35.4,95.8,0,7.2
