District,Mandal,Date,Rainfall (mm),temp_min ,Temp,humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Karimnagar,Karimnagar,1/1/20,0,20.1,27.1,58.6,88.5,0,6.6
Karimnagar,Karimnagar,1/2/20,0,21.8,29.9,54.1,86.6,0,6.9
Karimnagar,Karimnagar,1/3/20,0,22.2,29.1,58.2,82.8,0,6.8
Karimnagar,Karimnagar,1/4/20,3.7,19.8,24.1,81,97.6,0,4.6
Karimnagar,Karimnagar,1/5/20,0,18.2,26.2,68.1,95.5,0,4.1
Karimnagar,Karimnagar,1/6/20,0,16.1,26.9,51,80.4,0,3.1
Karimnagar,Karimnagar,1/7/20,0,20.2,28.9,49.9,79.7,0,5.3
Karimnagar,Karimnagar,1/8/20,0,21.6,30.8,54.1,85.8,0,7.7
Karimnagar,Karimnagar,1/9/20,0,21.5,29.4,56.8,84.1,0,8.6
Karimnagar,Karimnagar,1/10/20,0,18.3,30.3,54.1,79.3,0,3.9
Karimnagar,Karimnagar,1/11/20,0,15.9,26.8,54.6,79.6,0,2
Karimnagar,Karimnagar,1/12/20,0,14.6,27.9,46,84.7,0,2.9
Karimnagar,Karimnagar,1/13/20,0,14,26.8,33.2,89.9,0,4.6
Karimnagar,Karimnagar,1/14/20,0,15.9,31.8,27.7,86.6,0,4
Karimnagar,Karimnagar,1/15/20,0,18.3,29.1,55,97.3,0,3.4
Karimnagar,Karimnagar,1/16/20,0,18,30.5,44.8,93.2,0,6.5
Karimnagar,Karimnagar,1/17/20,0,19.6,29,45.3,88.1,0,8.8
Karimnagar,Karimnagar,1/18/20,0,20.7,30.2,46.8,87.5,0,7.9
Karimnagar,Karimnagar,1/19/20,0,20,28.8,55.5,95.7,0,6.5
Karimnagar,Karimnagar,1/20/20,0,20.8,31.6,51.3,85,0,7.1
Karimnagar,Karimnagar,1/21/20,0,19.8,28.2,62.6,96.9,0,4.1
Karimnagar,Karimnagar,1/22/20,0,20.9,30.6,51.4,87.1,0,6.6
Karimnagar,Karimnagar,1/23/20,0,19.3,31.4,46.7,95,0,9.1
Karimnagar,Karimnagar,1/24/20,0,18.8,31.3,42.8,95,0,6.7
Karimnagar,Karimnagar,1/25/20,0,18.8,30.3,41.2,97.3,0,4
Karimnagar,Karimnagar,1/26/20,0,19.2,32.8,34.4,91.8,0,4.8
Karimnagar,Karimnagar,1/27/20,0,17.9,32.3,36.2,91,0,5.1
Karimnagar,Karimnagar,1/28/20,0,21.9,32.7,37.5,72.5,0,6.2
