District,Mandal,Date,Rainfall (mm),temp_min ,Temp,humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Khammam,Madhira,1/1/20,0,19.5,30.3,54.4,99.8,0,11.8
Khammam,Madhira,1/2/20,0,21.9,31.3,56.9,94.3,0,10.9
Khammam,Madhira,1/3/20,0,21.4,30.2,67,98.1,0,12.1
Khammam,Madhira,1/4/20,1.8,22.8,31.8,54.3,99.6,0,13.4
Khammam,Madhira,1/5/20,7.4,23.1,28.8,58.3,97.8,0,7.6
Khammam,Madhira,1/6/20,0,21.3,31.3,62.6,97.6,0,7.9
Khammam,Madhira,1/7/20,0,21.2,31,54.4,92.2,0,14.5
Khammam,Madhira,1/8/20,0,20.3,32.1,52.9,100,0,6.4
Khammam,Madhira,1/9/20,0,19,31,54.3,100,0,9
Khammam,Madhira,1/10/20,0,20.1,31.4,52.7,100,0,8.7
Khammam,Madhira,1/11/20,0,20.5,29.4,65.2,100,0,7.9
Khammam,Madhira,1/12/20,0,18.6,30,54.6,100,0,9.6
Khammam,Madhira,1/13/20,0,16.7,30.9,39.9,100,0,6.4
Khammam,Madhira,1/14/20,0,18.2,31.4,37.9,100,0,4
Khammam,Madhira,1/15/20,0,16.8,30.9,49.4,100,0,6.6
Khammam,Madhira,1/16/20,0,17.5,29.5,45.5,100,0,7.2
Khammam,Madhira,1/17/20,0,18.7,30.5,47.9,100,0,13.5
Khammam,Madhira,1/18/20,0,20,33.4,41.7,100,0,9
Khammam,Madhira,1/19/20,0,20.3,30.8,40.4,100,0,9.8
Khammam,Madhira,1/20/20,0,19.7,32.4,51.9,100,0,7.1
Khammam,Madhira,1/21/20,0,19.9,33.1,50.7,100,0,5.6
Khammam,Madhira,1/22/20,0,19.6,32.2,48.1,100,0,2.8
Khammam,Madhira,1/23/20,0,21.1,32.9,48.7,100,0,9.3
Khammam,Madhira,1/24/20,0,19.8,33.8,49.7,100,0,3.8
Khammam,Madhira,1/25/20,0,21.5,33.7,39.9,100,0,9
Khammam,Madhira,1/26/20,0,19.9,34.3,45.1,100,0,2.7
Khammam,Madhira,1/27/20,0,19.4,35,45.6,100,0,7.5
Khammam,Madhira,1/28/20,0,20.4,35.6,43.2,100,0,1.7
Khammam,Madhira,1/29/20,0,21.5,35.2,44.2,100,0,8.9
