District,Mandal,Date,Rainfall (mm),temp_min ,Temp,humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Nizamabad,Armur,1/1/20,0,19.6,26.3,67.6,92.1,0,16.7
Nizamabad,Armur,1/2/20,4.9,19.5,28.8,60.4,96.2,0,15.4
Nizamabad,Armur,1/3/20,20.9,19.3,28.7,64,95.8,0,15.2
Nizamabad,Armur,1/4/20,2.1,18.5,22.9,89,95.2,0,9.6
Nizamabad,Armur,1/5/20,0,16.4,23.7,76.1,95.4,0,11
Nizamabad,Armur,1/6/20,0,14.8,25.4,58.4,93.5,0,15
Nizamabad,Armur,1/7/20,0,17.8,27.2,55.4,93.7,0,9.3
Nizamabad,Armur,1/8/20,0,20.5,28.2,66.5,95.6,0,9.3
Nizamabad,Armur,1/9/20,0,20.3,29.7,63.6,95.8,0,11.8
Nizamabad,Armur,1/10/20,0,15.7,25.5,78.2,92.7,0,11.5
Nizamabad,Armur,1/11/20,0,14.9,25.8,59.5,89.5,0,14.9
Nizamabad,Armur,1/12/20,0,13.7,26.4,51.3,92.4,0,11
Nizamabad,Armur,1/13/20,0,12.5,27.7,35.1,94.6,0,7.7
Nizamabad,Armur,1/14/20,0,14.3,29.4,30.8,96,0,6.8
Nizamabad,Armur,1/15/20,0,16.8,29.4,44,96.8,0,8.4
Nizamabad,Armur,1/16/20,0,17,29.3,39.7,95.2,0,16.1
Nizamabad,Armur,1/17/20,0,18.5,28,53.4,92.8,0,10.1
Nizamabad,Armur,1/18/20,0,19.1,28.7,56.4,95.9,0,11.8
Nizamabad,Armur,1/19/20,0,18.5,28.9,63,96.6,0,8.4
Nizamabad,Armur,1/20/20,0,18.4,30.2,54.1,96.7,0,10.4
Nizamabad,Armur,1/21/20,0,18.7,28.1,66.4,95.6,0,12.8
Nizamabad,Armur,1/22/20,0,19.2,30.5,47.1,95.6,0,11.4
Nizamabad,Armur,1/23/20,0,17.3,30.6,46.2,96.9,0,15.5
Nizamabad,Armur,1/24/20,0,18.1,30.7,43.9,94.5,0,10.8
Nizamabad,Armur,1/25/20,0,17.1,29.8,43.3,96.7,0,9
Nizamabad,Armur,1/26/20,0,17.8,31.3,41.1,96.4,0,8.6
Nizamabad,Armur,1/27/20,0,16.2,31.5,32.3,94.5,0,6.1
Nizamabad,Armur,1/28/20,0,20.9,33.5,32.9,80.1,0,9.5
Nizamabad,Armur,1/29/20,0,18,30.2,39.9,94.8,0,10.7
Nizamabad,Armur,1/30/20,0,16.5,30.1,43.5,95.3,0,9.7
Nizamabad,Armur,1/31/20,0,15.2,28.9,43.7,90.3,0,10.3
Nizamabad,Armur,2/1/20,0,17.2,28.6,44.5,88.1,0,10.5
Nizamabad,Armur,2/2/20,0,17.5,30.5,52.9,84.2,0,17.5
Nizamabad,Armur,2/3/20,0,19.3,28.5,61.9,95.2,0,8.1
Nizamabad,Armur,2/4/20,0,20.2,30.7,44.8,89.5,0,11.3
Nizamabad,Armur,2/5/20,0,20,31.4,44.6,90.5,0,9.4
Nizamabad,Armur,2/6/20,0,19.6,30.7,49.7,94.9,0,10.4
Nizamabad,Armur,2/7/20,0,19.9,32.9,39.2,91.6,0,9.8
Nizamabad,Armur,2/8/20,0,20,31.1,43.8,93.2,0,10.8
Nizamabad,Armur,2/9/20,1,17.2,25.3,75.5,95.2,0,16.4
Nizamabad,Armur,2/10/20,0,17.1,25.1,69.5,97.5,0,15
Nizamabad,Armur,2/11/20,0,18.6,27.7,69.8,97.4,0,10.2
Nizamabad,Armur,2/12/20,0,18.8,28.9,63.6,97.5,0,11.5
Nizamabad,Armur,2/13/20,0,16.6,30.6,43.2,97.5,0,7.1
Nizamabad,Armur,2/14/20,0,18.3,32.7,28.8,87.9,0,8.6
Nizamabad,Armur,2/15/20,0,16.1,33,25.3,93.8,0,10.3
Nizamabad,Armur,2/16/20,0,17.5,33.1,35.7,91.9,0,5.9
Nizamabad,Armur,2/17/20,0,16.6,32.8,35.3,91.6,0,6.6
Nizamabad,Armur,2/18/20,0,14.7,33.4,26.6,96,0,6.6
Nizamabad,Armur,2/19/20,0,14.5,33.2,19,91.8,0,7.3
Nizamabad,Armur,2/20/20,0,18.7,32.8,29.9,93.5,0,9.5
Nizamabad,Armur,2/21/20,0,18.6,31.9,39.1,95.1,0,15
Nizamabad,Armur,2/22/20,0,17.3,31.7,36.9,88.6,0,21
Nizamabad,Armur,2/23/20,0,17.5,32.1,41.5,90.2,0,10.2
Nizamabad,Armur,2/24/20,0,18.9,33.5,31.1,84.2,0,14
Nizamabad,Armur,2/25/20,0,20,33.8,37.9,86.8,0,8.6
Nizamabad,Armur,2/26/20,0,15.2,31.9,29.5,85.5,0,14.3
Nizamabad,Armur,2/27/20,0,14.3,31.5,25.9,81.3,0,9.8
Nizamabad,Armur,2/28/20,0,15.4,32.4,22.5,84.9,0,13.3
Nizamabad,Armur,2/29/20,0,17.9,31.9,32.2,92,0,14.2
Nizamabad,Armur,3/1/20,0,18.8,32.7,35.8,93.4,0,13.6
Nizamabad,Armur,3/2/20,0,20.4,31.9,45.5,91.9,0,10.9
Nizamabad,Armur,3/3/20,0,20.1,33.5,42.3,93.2,0,10.4
Nizamabad,Armur,3/4/20,0,19.7,34.7,31.7,84.2,0,13.4
Nizamabad,Armur,3/5/20,0,16.4,33.6,29.8,80.1,0,13.8
Nizamabad,Armur,3/6/20,0,21.4,32.9,26.4,94.7,0,11.5
Nizamabad,Armur,3/7/20,0,19.5,33,35,91.5,0,12.5
Nizamabad,Armur,3/8/20,0,21.5,33.3,31.9,96,0,23.8
Nizamabad,Armur,3/9/20,0,21.4,32.6,52.6,95,0,25.2
Nizamabad,Armur,3/10/20,0,20.8,31,56.8,95.1,0,15.3
Nizamabad,Armur,3/11/20,0,23,36,42.3,90.1,0,23.4
Nizamabad,Armur,3/12/20,0,22.5,34.5,38.1,91.4,0,22
Nizamabad,Armur,3/13/20,1.1,22,33.4,50.7,95.9,0,23
Nizamabad,Armur,3/14/20,1.9,21.1,32.8,60,95.9,0,17.8
Nizamabad,Armur,3/15/20,0,21.6,32.2,53.3,94.5,0,12.3
Nizamabad,Armur,3/16/20,0,21.3,33.8,40.6,89.9,0,11.1
Nizamabad,Armur,3/17/20,0,21.2,34.2,37.6,92.5,0,10.4
Nizamabad,Armur,3/18/20,0,22.6,35,34.8,83.9,0,12.5
Nizamabad,Armur,3/19/20,3.2,21.5,35.1,34.6,91.9,0,15.2
Nizamabad,Armur,3/20/20,0,20.2,35.8,37,94.9,0,8
Nizamabad,Armur,3/21/20,0,20.4,36,24,92.1,0,11.5
Nizamabad,Armur,3/22/20,0,18.3,35.3,21,89,0,6
Nizamabad,Armur,3/23/20,0,20.5,35.8,19.2,88.9,0,6.7
Nizamabad,Armur,3/24/20,0,21.6,36.3,27.6,91,0,7.7
Nizamabad,Armur,3/25/20,0,21.4,36.4,33.4,90.3,0,8.8
Nizamabad,Armur,3/26/20,0,21.7,36.1,36.5,82.2,0,15.2
Nizamabad,Armur,3/27/20,0,22.7,36.2,34.8,82.2,0,8.4
Nizamabad,Armur,3/28/20,0,22.3,38,26.7,86.3,0,10
Nizamabad,Armur,3/29/20,0,22.8,37.3,25.2,82.6,0,10.6
Nizamabad,Armur,3/30/20,0,22.3,37.6,30.3,75.8,0,12.2
Nizamabad,Armur,3/31/20,0,22.4,36.1,35.7,80.2,0,13.8
Nizamabad,Armur,4/1/20,0,24.3,37.5,27.9,80.1,,12.1
Nizamabad,Armur,4/2/20,0,23.1,37.5,28.1,80.5,,8.4
Nizamabad,Armur,4/3/20,0,26,37.8,30,72.7,,9.9
Nizamabad,Armur,4/4/20,0,24.6,37.2,28,85.7,,13.6
Nizamabad,Armur,4/5/20,0,23.4,37,20.5,78.8,,14.8
Nizamabad,Armur,4/6/20,0,23.3,36.9,26.5,83,,14.3
Nizamabad,Armur,4/7/20,0.1,21.2,37.9,29.7,91.3,,17.1
Nizamabad,Armur,4/8/20,0.5,21,38.3,23.2,87.2,,19.9
Nizamabad,Armur,4/9/20,0,21.3,38.3,24.9,82.3,,28.7
Nizamabad,Armur,4/10/20,0,20.1,37.5,20.4,83.8,,19.6
Nizamabad,Armur,4/11/20,0,23.3,37.6,25.2,76.3,,17.8
Nizamabad,Armur,4/12/20,0,23.1,37.6,24,71.7,,13.3
Nizamabad,Armur,4/13/20,0,23.5,38.9,22.9,69.6,,4.9
Nizamabad,Armur,4/14/20,0,23.5,39.9,20.1,65.4,,14.6
Nizamabad,Armur,4/15/20,0,26.1,39.4,18.8,62.5,,17.4
Nizamabad,Armur,4/16/20,0,23.9,39.4,16.2,65.4,,7.7
Nizamabad,Armur,4/17/20,0,24.2,40.7,16.9,66.5,,12.6
Nizamabad,Armur,4/18/20,0,23.5,40.1,18.1,73.7,,16.6
Nizamabad,Armur,4/19/20,0,26.1,40.1,22.1,61.6,,15.7
Nizamabad,Armur,4/20/20,0,24.1,37.7,25.6,80.9,,28.3
Nizamabad,Armur,4/21/20,0.3,23,39,22.7,76.3,,23.4
Nizamabad,Armur,4/22/20,0,23.1,39.6,21.1,69.3,,26.1
Nizamabad,Armur,4/23/20,0,25.6,40,18.6,69,,12.5
Nizamabad,Armur,4/24/20,0,25.6,40.8,18.7,76.5,,14.8
