District,Mandal,Date,Rainfall (mm),temp_min ,Temp,humidity_min (%),humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Warangal Rural,Nallabelly,1/1/20,0,21.8,30.1,64,99.9,0,10.1
Warangal Rural,Nallabelly,1/2/20,0,19.6,31.5,62.9,100,0,6.1
Warangal Rural,Nallabelly,1/3/20,0,22.4,30.2,54.5,99,0,8.1
Warangal Rural,Nallabelly,1/4/20,0,21,28.7,71,98.9,0,10.7
Warangal Rural,Nallabelly,1/5/20,0,19.1,26.1,79.7,99.5,0,9.6
Warangal Rural,Nallabelly,1/6/20,0,19.3,30.1,53.4,96.6,0,13.6
Warangal Rural,Nallabelly,1/7/20,0,22.4,32.6,48.6,98.1,0,4.6
Warangal Rural,Nallabelly,1/8/20,0,22.2,31.2,50.6,97.5,0,5.9
Warangal Rural,Nallabelly,1/9/20,0,21.3,29.7,58.2,98.1,0,10.5
Warangal Rural,Nallabelly,1/10/20,0,20.9,30.1,55,97.5,0,9.2
Warangal Rural,Nallabelly,1/11/20,0,18.3,30.4,61.6,87,0,8.6
Warangal Rural,Nallabelly,1/12/20,0,15.3,31.3,39.9,95.4,0,10.8
Warangal Rural,Nallabelly,1/13/20,0,12.7,31.4,34.9,92.6,0,9.4
Warangal Rural,Nallabelly,1/14/20,0,19.3,33.3,29.9,97.6,0,6.5
Warangal Rural,Nallabelly,1/15/20,0,19.3,33,47.5,99.2,0,4.2
Warangal Rural,Nallabelly,1/16/20,0,17.9,32.6,42.7,99.5,0,4.6
Warangal Rural,Nallabelly,1/17/20,0,19.5,31.4,46.1,98.7,0,4.1
Warangal Rural,Nallabelly,1/18/20,0,19.7,32.1,45.9,97.6,0,4.5
Warangal Rural,Nallabelly,1/19/20,0,19.5,33.3,48.7,98.1,0,19
Warangal Rural,Nallabelly,1/20/20,0,20,32.6,47.2,98.4,0,18.3
Warangal Rural,Nallabelly,1/21/20,0,20,32.8,48.6,98.4,0,14.8
Warangal Rural,Nallabelly,1/22/20,0,20.7,33.3,49.7,97.9,0,21.2
Warangal Rural,Nallabelly,1/23/20,0,20.2,33.3,46.6,98.4,0,23.3
Warangal Rural,Nallabelly,1/24/20,0,18,33.8,42.3,98.3,0,4.4
Warangal Rural,Nallabelly,1/25/20,0,16.9,33.5,42.3,97.9,0,6.3
Warangal Rural,Nallabelly,1/26/20,0,19.3,33.1,37,98.5,0,11.3
